name,city,region,country,category_list,category_groups_list,cb_url,rank,domain
Eventige,New York,New York,US,"Advertising,Brand Marketing,Digital Marketing,E-Commerce,Identity Management,Marketing,Semantic Search,SEO","Advertising,Commerce and Shopping,Information Technology,Internet Services,Privacy and Security,Sales and Marketing",https://www.crunchbase.com/organization/eventige,225832,eventige.com
Eventik,Mexico City,Distrito Federal,MX,"Mobile,Music,Ticketing","Events,Media and Entertainment,Mobile,Music and Audio",https://www.crunchbase.com/organization/eventik,463231,eventikapp.com
Eventil,,,,"Events,Information Services,Information Technology","Events,Information Technology,Media and Entertainment",https://www.crunchbase.com/organization/eventil,333763,eventil.com
"Eventiles, Inc.",Seattle,Washington,US,Software,Software,https://www.crunchbase.com/organization/eventiles-inc,371260,eventiles.com
Eventilio,Delhi,Delhi,IN,iOS,"Mobile,Platforms,Software",https://www.crunchbase.com/organization/eventilio,644884,eventilio.com
Eventility,,,,"Email,Events,Nightclubs,Software","Events,Information Technology,Internet Services,Media and Entertainment,Messaging and Telecommunications,Software",https://www.crunchbase.com/organization/eventility,270487,eventility.com
Eventilla,Oulu,Oulu,FI,"Email Marketing,Event Management","Events,Media and Entertainment,Sales and Marketing",https://www.crunchbase.com/organization/eventilla,177482,eventilla.com
Eventim UK Ltd,London,England,GB,"E-Commerce,Logistics,Ticketing","Commerce and Shopping,Events,Media and Entertainment,Transportation",https://www.crunchbase.com/organization/eventim-uk-ltd,150353,eventim.co.uk
EventInArea,Amsterdam,Noord-Holland,NL,"Concerts,Events,Location Based Services,Search Engine","Data and Analytics,Events,Internet Services,Media and Entertainment,Navigation and Mapping",https://www.crunchbase.com/organization/eventinarea,505400,eventinarea.com
eventinformation.dk,,,DK,Public Relations,Sales and Marketing,https://www.crunchbase.com/organization/eventinformation-dk,767439,eventinformation.dk
Eventinterface,Scottsdale,Arizona,US,"Event Management,Events,Mobile Apps,SaaS,Software","Apps,Events,Media and Entertainment,Mobile,Software",https://www.crunchbase.com/organization/eventinterface,194383,eventinterface.com
EVENTION,Hong Kong,Hong Kong Island,HK,"Event Management,Information Technology,Mobile","Events,Information Technology,Media and Entertainment,Mobile",https://www.crunchbase.com/organization/evention,179522,eventionapp.com
Eventions,,,,E-Commerce,Commerce and Shopping,https://www.crunchbase.com/organization/eventions,709875,eventions.ng
Eventioz,Mendoza,Mendoza,AR,"Events,Software,Ticketing","Events,Media and Entertainment,Software",https://www.crunchbase.com/organization/eventioz,52442,eventioz.com
Eventis,,,,"iOS,Software","Mobile,Platforms,Software",https://www.crunchbase.com/organization/eventis,561068,eventis.io
eventIS Group,Eindhoven,Noord-Brabant,NL,Software,Software,https://www.crunchbase.com/organization/eventis-group,394940,eventis.nl
Eventish.com,Sherman Oaks,California,US,"Cloud Computing,Software,Web Hosting","Internet Services,Software",https://www.crunchbase.com/organization/eventish-com,313081,eventish.com
Eventive Marketing,New York,New York,US,"Advertising,Marketing","Advertising,Sales and Marketing",https://www.crunchbase.com/organization/eventive-marketing,195462,eventivemarketing.com
Eventix,Amsterdam,Noord-Holland,NL,Ticketing,"Events,Media and Entertainment",https://www.crunchbase.com/organization/eventix,167778,eventix.io
Eventiz Media Group,Paris,Île-de-France,FR,Travel,Travel and Tourism,https://www.crunchbase.com/organization/eventiz-media-group,370094,eventiz.biz
Eventizy,,,IN,"Apps,Event Management","Apps,Events,Media and Entertainment,Software",https://www.crunchbase.com/organization/eventizy,239979,eventizy.in
Eventjams,,,,None,None,https://www.crunchbase.com/organization/eventjams,637555,eventjams.com
Eventjini,Chennai,Tamil Nadu,IN,"Event Management,Events,Software","Events,Media and Entertainment,Software",https://www.crunchbase.com/organization/eventjini,61885,eventjini.com
EventJoin,Santa Clara,California,US,"Career Planning,Enterprise Software,Human Resources,Internet,SaaS,Social Media,Software","Internet Services,Media and Entertainment,Professional Services,Software",https://www.crunchbase.com/organization/eventjoin-2,55722,joineight.com
Eventjoy,San Francisco,California,US,"Event Management,Events","Events,Media and Entertainment",https://www.crunchbase.com/organization/eventjoy,48086,eventjoy.com
EventKaddy,San Francisco,California,US,"Apps,Events,iOS,Mobile","Apps,Events,Media and Entertainment,Mobile,Platforms,Software",https://www.crunchbase.com/organization/eventkaddy,467563,eventkaddy.com
EventKey,Tempe,Arizona,US,"Events,Mobile Apps,Professional Networking","Apps,Community and Lifestyle,Events,Media and Entertainment,Mobile,Professional Services,Software",https://www.crunchbase.com/organization/eventkey,235902,geteventkey.com
